,LandContour,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,BsmtFullBath,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,Remodel,Garage_Remodel,LotArea,MasVnrArea,OpenPorchSF,WoodDeckSF,LotFrontage,GrLivArea,TotalBsmtArea,2ndFlrSF,AgeOfHouse,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,CentralAir_Y,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,Lotshape_1.0,Lotconfig_CulDSac,Lotconfig_FR,Lotconfig_Inside,NormCond_Yes,MasVnrTyp_None,MasVnrTyp_Stone,Electric_SBrkr,IsHalfBath_Yes,Saletype_Other,Saletype_Warranty,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,SalePrice
10,1.0,5,5,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1,3,1.0,0,0.0,1.0,1.0,3.0,0,0,0.0,-0.8053179962652529,-1.080224217623321,-0.9489599713609932,0.0878060953292465,0.0,0.033079857374000335,-0.8650510624731955,0.4626112830548789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,129500
11,1.0,9,5,3.0,2.0,4.0,1.0,6.0,4.0,1.0,3,4,3.0,2,4.0,3.0,3.0,3.0,1,0,0.0,1.3160769765789075,0.3326350362114918,1.00052742433141,0.7544781619766616,0.0,0.3284949959327856,1.2361324696943878,-1.5486425650247084,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,345000
12,1.0,5,6,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1,2,1.0,0,0.0,1.0,1.0,3.0,0,0,0.0,-0.8053179962652529,-1.080224217623321,0.9851597510415958,0.17999823357656036,0.0,-0.25587732507923167,-0.8650510624731955,0.5375239811860092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,144000
13,1.0,7,5,2.0,2.0,3.0,3.0,1.0,4.0,0.0,2,3,2.0,1,4.0,2.0,3.0,3.0,1,0,0.0,1.3269773283239155,0.5389551502865144,1.02708780985762,1.0068360697779677,0.0,0.9955964295004504,-0.8650510624731955,-1.5486425650247084,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,279500
14,1.0,6,5,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1,2,1.0,1,2.0,2.0,1.0,3.0,0,0,0.0,1.2654484163029671,1.4316191850613675,-0.9489599713609932,0.22568409733476888,0.0,0.49534191809439304,-0.8650510624731955,0.5858599456643339,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,157000
15,1.0,7,8,1.0,2.0,2.0,1.0,1.0,4.0,0.0,1,2,1.0,0,0.0,1.0,2.0,3.0,1,1,0.0,-0.8053179962652529,1.1178974212593495,0.6344918236387874,-0.852168705951049,0.0,-0.4415327465956343,-0.8650510624731955,1.1999369145805703,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,132000
16,1.0,6,7,1.0,2.0,2.0,1.0,5.0,4.0,1.0,1,2,1.0,1,3.0,3.0,2.0,3.0,0,0,0.0,1.2360928946605039,-1.080224217623321,-0.9489599713609932,0.22568409733476888,0.0,-0.04725694279395594,-0.8650510624731955,0.38451912551079387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,149000
17,1.0,4,5,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2,2,1.0,0,0.0,1.0,2.0,3.0,0,0,0.0,-0.8053179962652529,-1.080224217623321,-0.9489599713609932,0.17999823357656036,0.0,-3.01985803315077,-0.8650510624731955,0.35771770764621624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,90000
18,1.0,5,5,1.0,2.0,2.0,1.0,6.0,4.0,1.0,1,3,2.0,0,0.0,1.0,2.0,3.0,0,0,0.0,-0.8053179962652529,1.0727192784547834,-0.9489599713609932,-0.1000183782650572,0.0,0.19610691750684317,-0.8650510624731955,-1.1796958732033254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,159000
19,1.0,5,6,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1,3,1.0,0,0.0,1.0,1.0,3.0,1,0,0.0,-0.8053179962652529,-1.080224217623321,-0.9489599713609932,0.0878060953292465,0.0,0.008606195507770822,-0.8650510624731955,0.6561614240665161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,139000
20,1.0,8,5,2.0,2.0,4.0,3.0,1.0,4.0,0.0,3,4,2.0,1,4.0,2.0,3.0,3.0,1,0,0.0,1.3606513384328358,1.2726412416987913,1.1518672211184962,1.4121168264615032,0.0,0.2917737107752961,1.2476004036785233,-1.5486425650247084,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,325300
21,2.0,7,7,1.0,2.0,2.0,1.0,1.0,4.0,0.0,1,3,2.0,1,4.0,1.0,1.0,3.0,1,0,0.0,-0.8053179962652529,-1.080224217623321,-0.9489599713609932,-0.5413105441308497,0.0,-0.9139618792363796,-0.8650510624731955,1.1820263910514217,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,139400
22,1.0,8,5,2.0,2.0,3.0,1.0,1.0,4.0,0.0,2,3,2.0,1,4.0,2.0,2.0,3.0,0,0,0.0,1.3132013774828835,1.2882425028838982,1.0478111093368359,0.3162616465872836,0.0,1.558310132480624,-0.8650510624731955,-1.0074168914803465,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,230000
23,1.0,5,7,1.0,2.0,3.0,1.0,6.0,2.0,1.0,1,3,1.0,1,3.0,1.0,2.0,3.0,0,0,0.0,-0.8053179962652529,1.1091837646778058,0.8776875290950706,-1.23521246023725,0.0,0.033079857374000335,-0.8650510624731955,0.1268996313048318,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,129900
24,1.0,5,8,1.0,3.0,2.0,2.0,3.0,4.0,1.0,1,3,2.0,1,3.0,1.0,1.0,3.0,1,0,0.0,-0.8053179962652529,1.012458469538839,1.3079946510929195,0.17999823357656036,0.0,0.07741497663866602,-0.8650510624731955,0.4369513316762373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,154000
25,1.0,8,5,2.0,2.0,3.0,1.0,1.0,4.0,0.0,2,3,2.0,1,4.0,2.0,3.0,3.0,0,0,0.0,1.4343625837462397,0.7862614798751771,-0.9489599713609932,1.7623828749691457,0.0,1.1410785343246224,-0.8650510624731955,-1.401530119792259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,256300
26,1.0,5,7,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1,3,2.0,0,0.0,1.0,2.0,3.0,1,1,0.0,-0.8053179962652529,0.5247469495609686,1.128171194891018,-0.3911188671483735,0.0,-0.28346182029572464,-0.8650510624731955,0.8323144844633631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,134800
27,1.0,8,5,2.0,2.0,4.0,1.0,6.0,4.0,1.0,2,3,2.0,1,4.0,2.0,3.0,3.0,1,1,0.0,1.2551352944635816,0.7328018802249253,-0.9489599713609932,1.2924136926406242,0.0,1.4154164305517252,-0.8650510624731955,-1.2820677399078446,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,306000
28,1.0,5,6,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1,2,1.0,2,4.0,2.0,1.0,3.0,1,0,0.0,-0.8053179962652529,1.5261856521612323,1.2067338515793524,-1.0681037282351868,0.0,0.9752555584148282,-0.8650510624731955,0.6095779370051019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,207500
29,1.0,4,6,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1,1,0.0,0,0.0,1.0,1.0,2.0,1,0,0.0,-0.8053179962652529,-1.080224217623321,0.6414795810345578,-0.3911188671483735,0.0,-1.2144514565348368,-0.8650510624731955,1.2528541306696839,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,68500
30,1.0,4,4,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1,3,1.0,0,0.0,1.0,1.0,3.0,1,0,0.0,-0.8053179962652529,0.769080518680185,-0.9489599713609932,-0.9054579777892329,0.0,-0.883949017160425,1.1367568906959504,1.3719042558095147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,40000
31,1.0,5,6,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1,3,2.0,0,0.0,1.0,1.0,3.0,1,0,0.0,-0.8053179962652529,0.856912969013199,-0.9489599713609932,0.17999823357656036,0.0,0.442151390868014,-0.8650510624731955,0.4369513316762373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,149350
32,1.0,8,5,2.0,2.0,4.0,3.0,1.0,4.0,0.0,2,3,2.0,0,0.0,2.0,2.0,3.0,0,0,0.0,-0.8053179962652529,0.4950194156594264,-0.9489599713609932,0.7544781619766616,0.0,0.45494123730680974,-0.8650510624731955,-1.5486425650247084,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,179900
33,1.0,5,5,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1,4,2.0,1,4.0,2.0,2.0,3.0,0,0,0.0,-0.8053179962652529,0.6043673203555253,-0.9489599713609932,0.0878060953292465,0.0,0.7988991537260831,-0.8650510624731955,0.6561614240665161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,165500
34,1.0,9,5,3.0,2.0,4.0,1.0,6.0,4.0,1.0,2,2,3.0,1,4.0,3.0,2.0,3.0,0,0,0.0,1.2910874275095048,0.7037148650592548,1.1008031229825843,-0.3911188671483735,0.0,1.131029627492709,-0.8650510624731955,-1.401530119792259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,277500
35,1.0,8,5,2.0,2.0,4.0,3.0,1.0,4.0,0.0,3,4,2.0,1,4.0,3.0,3.0,3.0,1,0,0.0,1.1769799604811244,0.5247469495609686,0.9170250520930883,1.6856411597977137,0.0,0.20265883337781485,1.2617768832908047,-1.401530119792259,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,309000
36,1.0,5,5,1.0,2.0,3.0,1.0,1.0,4.0,0.0,1,3,1.0,0,0.0,1.0,2.0,3.0,1,1,0.0,-0.8053179962652529,0.8495452513023318,1.2977706028015616,1.8385284597182203,0.0,0.15889689622740735,-0.8650510624731955,-0.4741472218517418,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,145000
